;trait;data_type;term;estimate;std.error;statistic;p.value
33;Tconstant;Presence;scale(FDD);0.021946361;0.027177528;0.807518686;0.424143862
34;Tconstant;Presence;scale(GDD);0.046008478;0.027706256;1.660580852;0.104617888
35;Tconstant;Presence;scale(Snw);0.049764585;0.020163744;2.468023076;0.017959822
36;Tconstant;Presence;scale(auto);0.029969509;0.020826702;1.438994481;0.157931839
43;WP;Presence;(Intercept);0.520852003;0.009315322;55.91347075;1.35E-39
44;WP;Presence;scale(elevation);-0.003043811;0.009830736;-0.309621834;0.75845582
45;WP;Presence;scale(FDD);0.053309973;0.014570711;3.65870775;0.000731712
46;WP;Presence;scale(GDD);0.053503463;0.014644616;3.653456195;0.000743002
47;WP;Presence;scale(Snw);0.013903049;0.010501961;1.323852639;0.193068145
48;WP;Presence;scale(auto);-0.004211388;0.010277885;-0.409752424;0.68417377
55;Wplanttraits;Presence;(Intercept);0.316;0.00515;61.3;3.47E-41
56;Wplanttraits;Presence;scale(elevation);0.0115;0.00551;2.08;0.04
57;Wplanttraits;Presence;scale(FDD);0.00816;0.00857;0.952;0.35
58;Wplanttraits;Presence;scale(GDD);-0.000882;0.00841;-0.105;0.92
59;Wplanttraits;Presence;scale(Snw);-0.00227;0.00551;-0.411;0.68
60;Wplanttraits;Presence;scale(auto);-0.00782;0.00575;-1.36;0.18
67;dark;Presence;(Intercept);0.533421148;0.00728076;73.26448601;3.02E-44
68;dark;Presence;scale(elevation);0.007748527;0.007631946;1.015275434;0.316076593
69;dark;Presence;scale(FDD);0.022507817;0.011413299;1.972069298;0.055543903
70;dark;Presence;scale(GDD);0.021922733;0.011446595;1.915218641;0.062633865
71;dark;Presence;scale(Snw);0.012087721;0.007721047;1.565554677;0.125330863
72;dark;Presence;scale(auto);0.008075652;0.007445744;1.084599837;0.284592967
79;germtraits;Presence;(Intercept);0.442275676;0.008406776;52.60942907;1.50E-38
80;germtraits;Presence;scale(elevation);-0.0230619;0.008920941;-2.58514198;0.013485927
81;germtraits;Presence;scale(FDD);0.03295072;0.013149417;2.50586924;0.016384618
82;germtraits;Presence;scale(GDD);0.040265165;0.013309216;3.025359539;0.004326189
83;germtraits;Presence;scale(Snw);0.02726308;0.009885678;2.757836275;0.008727951
84;germtraits;Presence;scale(auto);0.012844852;0.009836329;1.305858376;0.199061209
91;leafarea;Presence;(Intercept);0.328687954;0.004864991;67.5618835;7.54E-43
92;leafarea;Presence;scale(elevation);0.011424138;0.005096747;2.241456518;0.030612545
93;leafarea;Presence;scale(FDD);0.010564606;0.00773361;1.3660639;0.179550549
94;leafarea;Presence;scale(GDD);0.011091389;0.00774182;1.432659022;0.159724822
95;leafarea;Presence;scale(Snw);0.000868023;0.005225166;0.16612357;0.868896569
96;leafarea;Presence;scale(auto);-0.002369112;0.005123649;-0.462387576;0.646308849
103;plantheight;Presence;(Intercept);0.240772412;0.005477405;43.95738874;1.76E-35
104;plantheight;Presence;scale(elevation);-0.007594759;0.005724517;-1.326707521;0.192130089
105;plantheight;Presence;scale(FDD);-0.00262381;0.008632584;-0.303942553;0.762747187
106;plantheight;Presence;scale(GDD);-0.017081585;0.00861501;-1.982770316;0.054289903
107;plantheight;Presence;scale(Snw);-0.005389476;0.005896616;-0.913994725;0.366196387
108;plantheight;Presence;scale(auto);-0.025269515;0.005710947;-4.424750255;7.25E-05
115;seedmass;Presence;(Intercept);0.410030493;0.007865697;52.12894655;2.15E-38
116;seedmass;Presence;scale(elevation);0.014968711;0.008248966;1.814616725;0.077087396
117;seedmass;Presence;scale(FDD);0.036124454;0.012707466;2.842773939;0.007009269
118;seedmass;Presence;scale(GDD);0.017045086;0.012772115;1.334554659;0.1895696
119;seedmass;Presence;scale(Snw);0.003329147;0.008408151;0.395942859;0.694251324
120;seedmass;Presence;scale(auto);-0.011097265;0.008426853;-1.316893206;0.195369498
