;indices;data_type;estimate;estimate1;estimate2;statistic;p.value;parameter;conf.low;conf.high;method;alternative
1;Mpd;ab;0.26199227;0.509185893;0.247193623;11.2153371;8.53E-19;90.26029395;0.215585023;0.308399518;Welch Two Sample t-test;two.sided
2;Mpd;pa;0.129656364;0.432106893;0.302450528;10.91353876;6.26E-18;86.3056895;0.106040257;0.153272471;Welch Two Sample t-test;two.sided
3;Rao;ab;0.127150029;0.247336397;0.120186368;6.268393807;1.88E-08;77.85550404;0.086765894;0.167534165;Welch Two Sample t-test;two.sided
4;Rao;pa;0.104521068;0.350025752;0.245504685;10.93890483;8.88E-18;83.2161687;0.085517317;0.123524818;Welch Two Sample t-test;two.sided
