species,community,site,ind,plant_height,floral_height,
Helictotrichon sedenense,Temperate,Hoyo sin Tierra,7,12.5,293.5,
Helictotrichon sedenense,Temperate,Hoyo sin Tierra,8,7.2,23,
Helictotrichon sedenense,Temperate,Hoyo sin Tierra,9,11.8,32.5,
Helictotrichon sedenense,Temperate,Hoyo sin Tierra,10,11.2,27.6,
Helictotrichon sedenense,Temperate,Hou sin Tierri,1,9.4,55.2,
Helictotrichon sedenense,Temperate,Hou sin Tierri,2,8.5,44.2,
Helictotrichon sedenense,Temperate,Hou sin Tierri,3,5,43.2,
Helictotrichon sedenense,Temperate,Hou sin Tierri,4,4.6,46.1,
Helictotrichon sedenense,Temperate,Hou sin Tierri,5,4,49.9,
Helictotrichon sedenense,Temperate,Hou sin Tierri,6,8.1,50.1,
Helictotrichon sedenense,Temperate,Hou sin Tierri,7,2.6,52.1,
Helictotrichon sedenense,Temperate,Hou sin Tierri,8,4,42,
Helictotrichon sedenense,Temperate,Hou sin Tierri,9,6,42,
Helictotrichon sedenense,Temperate,Hou sin Tierri,10,4,48.5,
Hippocrepis comosa,Temperate,Los Cazadores,1,5,8.9,
Hippocrepis comosa,Temperate,Los Cazadores,2,3,4.6,
Hippocrepis comosa,Temperate,Los Cazadores,3,2,4.8,
Hippocrepis comosa,Temperate,Los Cazadores,4,1,4,
Hippocrepis comosa,Temperate,Los Cazadores,5,1.4,3.8,
Hippocrepis comosa,Temperate,Los Cazadores,6,4,5.6,
Hippocrepis comosa,Temperate,Los Cazadores,7,2.8,5.2,
Hippocrepis comosa,Temperate,Los Cazadores,8,5.2,8,
Hippocrepis comosa,Temperate,Los Cazadores,9,2.6,6.2,
Hippocrepis comosa,Temperate,Los Cazadores,10,4.2,7.8,
Hornungia alpina,Temperate,Urriellu,1,0.8,4.2,
Hornungia alpina,Temperate,Urriellu,2,2.8,6.5,
Hornungia alpina,Temperate,Urriellu,3,1,4.2,
Hornungia alpina,Temperate,Urriellu,4,0.4,7.6,
Hornungia alpina,Temperate,Urriellu,5,0.9,5.9,
Hornungia alpina,Temperate,Urriellu,6,0.4,4.9,
Hornungia alpina,Temperate,Urriellu,7,0.4,4.9,
Hornungia alpina,Temperate,Urriellu,8,0.4,6.6,
Hornungia alpina,Temperate,Urriellu,9,0.8,5,
Hornungia alpina,Temperate,Urriellu,10,2.2,6.4,
Hornungia alpina,Temperate,Los Cazadores,1,0.4,5,
Hornungia alpina,Temperate,Los Cazadores,2,0.4,5.2,
Hornungia alpina,Temperate,Los Cazadores,3,0.2,4.2,
Hornungia alpina,Temperate,Los Cazadores,4,0.2,4.8,
Hornungia alpina,Temperate,Los Cazadores,5,0.4,4.8,
Hornungia alpina,Temperate,Los Cazadores,6,0.4,4.2,
Hornungia alpina,Temperate,Los Cazadores,7,0.4,3.6,
Hornungia alpina,Temperate,Los Cazadores,8,0.2,3.8,
Hornungia alpina,Temperate,Los Cazadores,9,0.6,3.8,
Hornungia alpina,Temperate,Los Cazadores,10,0.2,1.4,
Iberis carnosa,Temperate,Hoyo sin Tierra,1,3.5,4.6,
Iberis carnosa,Temperate,Hoyo sin Tierra,2,4,4.9,
Iberis carnosa,Temperate,Hoyo sin Tierra,3,5,5.8,
Iberis carnosa,Temperate,Hoyo sin Tierra,4,6,7.4,
Iberis carnosa,Temperate,Hoyo sin Tierra,5,3.5,4.8,
Iberis carnosa,Temperate,Hoyo sin Tierra,6,4.8,6,
Iberis carnosa,Temperate,Hoyo sin Tierra,7,4,4.5,
Iberis carnosa,Temperate,Hoyo sin Tierra,8,3,3.6,
Iberis carnosa,Temperate,Hoyo sin Tierra,9,3,4.5,
Iberis carnosa,Temperate,Hoyo sin Tierra,10,3,3.5,
Iberis carnosa,Temperate,Los Cazadores,1,1.5,3.5,
Iberis carnosa,Temperate,Los Cazadores,2,1.4,2.6,
Iberis carnosa,Temperate,Los Cazadores,3,1.2,1.8,
Iberis carnosa,Temperate,Los Cazadores,4,0.8,1.4,
Iberis carnosa,Temperate,Los Cazadores,5,2.5,3.2,
Iberis carnosa,Temperate,Los Cazadores,6,3,3.8,
Iberis carnosa,Temperate,Los Cazadores,7,2.8,3,
Iberis carnosa,Temperate,Los Cazadores,8,1.2,2.8,
Iberis carnosa,Temperate,Los Cazadores,9,1.5,2.5,
Iberis carnosa,Temperate,Los Cazadores,10,2.8,3.5,
Jacobea boissieri,Temperate,Hou sin Tierri,1,1.9,6.7,
Jacobea boissieri,Temperate,Hou sin Tierri,2,2,7.8,
Jacobea boissieri,Temperate,Hou sin Tierri,3,1,10.9,
Jacobea boissieri,Temperate,Hou sin Tierri,4,0.8,7,
Jacobea boissieri,Temperate,Hou sin Tierri,5,1.6,8.5,
Jacobea boissieri,Temperate,Hou sin Tierri,6,0.5,7.8,
Jacobea boissieri,Temperate,Hou sin Tierri,7,1,10.8,
Jacobea boissieri,Temperate,Hou sin Tierri,8,0.7,9.6,
Jacobea boissieri,Temperate,Hou sin Tierri,9,0.3,9.2,
Jacobea boissieri,Temperate,Hou sin Tierri,10,0.5,6.2,
Jasione cavanillesii,Temperate,Horcados Rojos,1,1.4,3.2,
Jasione cavanillesii,Temperate,Horcados Rojos,2,0.8,2.2,
Jasione cavanillesii,Temperate,Horcados Rojos,3,1.8,2.6,
Jasione cavanillesii,Temperate,Horcados Rojos,4,2,2.8,
Jasione cavanillesii,Temperate,Horcados Rojos,5,1,2.2,
Jasione cavanillesii,Temperate,Horcados Rojos,6,3.6,4.2,
Jasione cavanillesii,Temperate,Horcados Rojos,7,1.2,2,
Jasione cavanillesii,Temperate,Horcados Rojos,8,0.4,1.6,
Jasione cavanillesii,Temperate,Horcados Rojos,9,0.6,1,
Jasione cavanillesii,Temperate,Horcados Rojos,10,2.4,4.6,
Jasione cavanillesii,Temperate,Urriellu,1,0.6,2,
Jasione cavanillesii,Temperate,Urriellu,2,0.4,1.8,
Jasione cavanillesii,Temperate,Urriellu,3,0.6,2.4,
Jasione cavanillesii,Temperate,Urriellu,4,0.6,2.2,
Jasione cavanillesii,Temperate,Urriellu,5,1.1,2.6,
Jasione cavanillesii,Temperate,Urriellu,6,0.8,3.5,
Jasione cavanillesii,Temperate,Urriellu,7,2.6,3.6,
Jasione cavanillesii,Temperate,Urriellu,8,0.8,1.8,
Jasione cavanillesii,Temperate,Urriellu,9,1,2.4,
Jasione cavanillesii,Temperate,Urriellu,10,2,3.4,
Jasione laevis,Mediterranean,Penouta,1,4,19,
Jasione laevis,Mediterranean,Penouta,2,5.6,12.4,
Jasione laevis,Mediterranean,Penouta,3,5.2,14,
Jasione laevis,Mediterranean,Penouta,4,5.4,13.6,
Jasione laevis,Mediterranean,Rabinalto,5,7.2,11.4,
Jasione laevis,Mediterranean,Rabinalto,6,4.2,7.4,
Jasione laevis,Mediterranean,Rabinalto,7,5.2,6.8,
Jasione laevis,Mediterranean,Rabinalto,8,8.2,12.8,
Jasione laevis,Mediterranean,Rabinalto,9,5.2,8,
Jasione laevis,Mediterranean,Rabinalto,10,4.2,5.8,
Jasione laevis,Mediterranean,Cañada,1,2.8,6.2,
Jasione laevis,Mediterranean,Cañada,2,3.6,6,
Jasione laevis,Mediterranean,Cañada,3,4.6,6.4,
Jasione laevis,Mediterranean,Cañada,4,4.4,5.8,
Jasione laevis,Mediterranean,Cañada,5,5.8,8.6,
Jasione laevis,Mediterranean,Cañada,6,5.6,7.8,
Jasione laevis,Mediterranean,Cañada,7,4,5,
Jasione laevis,Mediterranean,Cañada,8,3.6,5,
Jasione laevis,Mediterranean,Cañada,9,4.4,5.6,
Jasione laevis,Mediterranean,Cañada,10,3.4,4.8,
Jurinea humilis,Mediterranean,Rabinalto,1,5,4.8,
Jurinea humilis,Mediterranean,Rabinalto,2,6.6,7.6,
Jurinea humilis,Mediterranean,Rabinalto,3,3.2,2.6,
Jurinea humilis,Mediterranean,Solana,4,4.8,2.2,
Jurinea humilis,Mediterranean,Solana,5,4.8,4.2,
Jurinea humilis,Mediterranean,Solana,6,3.2,2.6,
Jurinea humilis,Mediterranean,Solana,7,3,1.2,
Jurinea humilis,Mediterranean,Solana,8,6.8,4.6,
Jurinea humilis,Mediterranean,Solana,9,4.8,3.4,
Jurinea humilis,Mediterranean,Solana,10,2.8,3,
Jurinea humilis,Mediterranean,Cañada,1,1,3.2,
Jurinea humilis,Mediterranean,Cañada,2,1.6,3,
Jurinea humilis,Mediterranean,Cañada,3,2,3.2,
Jurinea humilis,Mediterranean,Cañada,4,2.4,3.2,
Jurinea humilis,Mediterranean,Cañada,5,4.6,4.4,
Jurinea humilis,Mediterranean,Cañada,6,2.6,4.2,
Jurinea humilis,Mediterranean,Cañada,7,6,4.8,
Jurinea humilis,Mediterranean,Cañada,8,4.2,1.4,
Jurinea humilis,Mediterranean,Cañada,9,4.4,3.4,
Jurinea humilis,Mediterranean,Cañada,10,2,3.6,
Jurinea humilis,Temperate,Hoyo sin Tierra,1,3,2.5,
Jurinea humilis,Temperate,Hoyo sin Tierra,2,2.7,3.5,
Jurinea humilis,Temperate,Hoyo sin Tierra,3,0.6,2.5,
Jurinea humilis,Temperate,Hoyo sin Tierra,4,2.7,2.5,
Jurinea humilis,Temperate,Hoyo sin Tierra,5,2.9,3.1,
Jurinea humilis,Temperate,Hoyo sin Tierra,6,1.8,2.4,
Jurinea humilis,Temperate,Hoyo sin Tierra,7,3.6,3.7,
Jurinea humilis,Temperate,Hoyo sin Tierra,8,1,2.6,
Jurinea humilis,Temperate,Hoyo sin Tierra,9,3.9,3.5,
Jurinea humilis,Temperate,Hoyo sin Tierra,10,2.7,3.2,
Jurinea humilis,Temperate,Los Cazadores,1,1.5,3.1,
Jurinea humilis,Temperate,Los Cazadores,2,2,2.4,
Jurinea humilis,Temperate,Los Cazadores,3,3.1,4,
Jurinea humilis,Temperate,Los Cazadores,4,2,3.5,
Jurinea humilis,Temperate,Los Cazadores,5,2.2,2.5,
Jurinea humilis,Temperate,Los Cazadores,6,2,3.4,
Jurinea humilis,Temperate,Los Cazadores,7,1.2,1.8,
Jurinea humilis,Temperate,Los Cazadores,8,2.9,2.6,
Jurinea humilis,Temperate,Los Cazadores,9,1.8,2.1,
Jurinea humilis,Temperate,Los Cazadores,10,1.8,2.6,
Kobresia myosuroides,Temperate,Horcados Rojos,1,7.2,7.4,
Kobresia myosuroides,Temperate,Horcados Rojos,2,3.4,2.8,
Kobresia myosuroides,Temperate,Horcados Rojos,3,5.8,6.2,
Kobresia myosuroides,Temperate,Horcados Rojos,4,10,10.8,
Kobresia myosuroides,Temperate,Horcados Rojos,5,6.2,9.4,
Kobresia myosuroides,Temperate,Horcados Rojos,6,9.2,5.4,
Kobresia myosuroides,Temperate,Horcados Rojos,7,2.4,4.2,
Kobresia myosuroides,Temperate,Horcados Rojos,8,7.2,6.8,
Kobresia myosuroides,Temperate,Horcados Rojos,9,9.8,7.8,
Kobresia myosuroides,Temperate,Horcados Rojos,10,10,8.8,
Kobresia myosuroides,Temperate,Hou sin Tierri,1,7.8,9.8,
Kobresia myosuroides,Temperate,Hou sin Tierri,2,4.2,6.2,
Kobresia myosuroides,Temperate,Hou sin Tierri,3,5.5,7.8,
Kobresia myosuroides,Temperate,Hou sin Tierri,4,5.6,6.8,
Kobresia myosuroides,Temperate,Hou sin Tierri,5,8.4,11.4,
Kobresia myosuroides,Temperate,Hou sin Tierri,6,6.8,7.6,
Kobresia myosuroides,Temperate,Hou sin Tierri,7,8.2,8.6,
Kobresia myosuroides,Temperate,Hou sin Tierri,8,7.8,5.6,
Kobresia myosuroides,Temperate,Hou sin Tierri,9,8.2,8.4,
Kobresia myosuroides,Temperate,Hou sin Tierri,10,6.8,9,
Koeleria crassipes,Mediterranean,Rabinalto,1,7.2,16.8,32.4
Koeleria crassipes,Mediterranean,Rabinalto,2,13.2,22.3,35.2
Koeleria crassipes,Mediterranean,Rabinalto,3,4.6,14.2,25
Koeleria crassipes,Mediterranean,Rabinalto,4,5.4,16,25.2
Koeleria crassipes,Mediterranean,Rabinalto,5,6.2,16.2,28.6
Koeleria crassipes,Mediterranean,Rabinalto,6,5.2,11.8,31.2
Koeleria crassipes,Mediterranean,Rabinalto,7,3,9.2,34.2
Koeleria crassipes,Mediterranean,Rabinalto,8,6,13.4,27.2
Koeleria crassipes,Mediterranean,Rabinalto,9,5,8,22.2
Koeleria crassipes,Mediterranean,Rabinalto,10,2,13,36.4
Koeleria vallesiana,Temperate,Hoyo sin Tierra,1,4.5,21,
Koeleria vallesiana,Temperate,Hoyo sin Tierra,2,7,29.5,
Koeleria vallesiana,Temperate,Hoyo sin Tierra,3,3,12.4,
Koeleria vallesiana,Temperate,Hoyo sin Tierra,4,3.5,16.8,
Koeleria vallesiana,Temperate,Hoyo sin Tierra,5,2.4,13.5,
Koeleria vallesiana,Temperate,Hoyo sin Tierra,6,3,7,
Koeleria vallesiana,Temperate,Hoyo sin Tierra,7,2,10.5,
Koeleria vallesiana,Temperate,Hoyo sin Tierra,8,1.5,12.4,
Koeleria vallesiana,Temperate,Hoyo sin Tierra,9,3.8,9.4,
Koeleria vallesiana,Temperate,Hoyo sin Tierra,10,1.8,16,
Koeleria vallesiana,Temperate,Los Cazadores,1,4.5,15.1,
Koeleria vallesiana,Temperate,Los Cazadores,2,4.4,12.1,
Koeleria vallesiana,Temperate,Los Cazadores,3,3.2,11,
Koeleria vallesiana,Temperate,Los Cazadores,4,9.5,15.7,
Koeleria vallesiana,Temperate,Los Cazadores,5,2.1,8.1,
Koeleria vallesiana,Temperate,Los Cazadores,6,3.8,12.1,
Koeleria vallesiana,Temperate,Los Cazadores,7,4.6,16.1,
Koeleria vallesiana,Temperate,Los Cazadores,8,2,10.2,
Koeleria vallesiana,Temperate,Los Cazadores,9,2.5,10.4,
Koeleria vallesiana,Temperate,Los Cazadores,10,2.5,13,
Linaria alpina,Temperate,Hoyo sin Tierra,1,0.7,4.5,
Linaria alpina,Temperate,Hoyo sin Tierra,2,2.6,6.2,
Linaria alpina,Temperate,Hoyo sin Tierra,3,1,4.6,
Linaria alpina,Temperate,Hoyo sin Tierra,4,2,3.2,
Linaria alpina,Temperate,Hoyo sin Tierra,5,2,5.2,
Linaria alpina,Temperate,Hoyo sin Tierra,6,1.5,5.5,
Linaria alpina,Temperate,Hoyo sin Tierra,7,1.2,5.4,
Linaria alpina,Temperate,Hoyo sin Tierra,8,1,4.3,
Linaria alpina,Temperate,Hoyo sin Tierra,9,3,6.2,
Linaria alpina,Temperate,Hoyo sin Tierra,10,1.9,4,
Linaria alpina,Temperate,Urriellu,1,0.9,4.9,
Linaria alpina,Temperate,Urriellu,2,2.9,7.4,
Linaria alpina,Temperate,Urriellu,3,3.8,7.4,
Linaria alpina,Temperate,Urriellu,4,3.8,4.6,
Linaria alpina,Temperate,Urriellu,5,6.4,8.8,
Linaria alpina,Temperate,Urriellu,6,2.8,3.8,
Linaria alpina,Temperate,Urriellu,7,4.5,5,
Linaria alpina,Temperate,Urriellu,8,5.9,6,
Linaria alpina,Temperate,Urriellu,9,9.8,11.4,
Linaria alpina,Temperate,Urriellu,10,3.6,4.9,
Linaria supina,Mediterranean,Rabinalto,1,4,6,
Linaria supina,Mediterranean,Rabinalto,2,3.4,6,
Linaria supina,Mediterranean,Rabinalto,3,6,7.8,
Linaria supina,Mediterranean,Rabinalto,4,4,5.6,
Linaria supina,Mediterranean,Rabinalto,5,12.8,17,
Linaria supina,Mediterranean,Rabinalto,6,4.2,6,
Linaria supina,Mediterranean,Rabinalto,7,,3.6,
Linaria supina,Mediterranean,Rabinalto,8,12,16.2,
Linaria supina,Mediterranean,Rabinalto,9,10.4,14.8,
Linaria supina,Mediterranean,Rabinalto,10,10.2,15.2,
Linaria supina,Mediterranean,Solana,1,4.2,5,
Lotus corniculatus,Temperate,Hoyo sin Tierra,1,4,6.5,
Lotus corniculatus,Temperate,Hoyo sin Tierra,2,11.5,13.5,
Lotus corniculatus,Temperate,Hoyo sin Tierra,3,0.6,3.2,
Lotus corniculatus,Temperate,Hoyo sin Tierra,4,2.5,3.5,
Lotus corniculatus,Temperate,Hoyo sin Tierra,5,3.2,5.4,
Lotus corniculatus,Temperate,Hoyo sin Tierra,6,1,3.2,
Lotus corniculatus,Temperate,Hoyo sin Tierra,7,2.5,5.6,
Lotus corniculatus,Temperate,Hoyo sin Tierra,8,2,3.2,
Lotus corniculatus,Temperate,Hoyo sin Tierra,9,3.2,5.5,
Lotus corniculatus,Temperate,Hoyo sin Tierra,10,2.6,3.4,
Lotus corniculatus,Temperate,Los Cazadores,1,1.2,2.6,
Lotus corniculatus,Temperate,Los Cazadores,2,2.4,2.8,
Lotus corniculatus,Temperate,Los Cazadores,3,1.6,2,
Lotus corniculatus,Temperate,Los Cazadores,4,1.5,2.4,
Lotus corniculatus,Temperate,Los Cazadores,5,1,2.1,
Lotus corniculatus,Temperate,Los Cazadores,6,2,3.5,
Lotus corniculatus,Temperate,Los Cazadores,7,1,1.9,
Lotus corniculatus,Temperate,Los Cazadores,8,2,2.5,
Lotus corniculatus,Temperate,Los Cazadores,9,4,4,
Lotus corniculatus,Temperate,Los Cazadores,10,2.4,3,
Luzula caespitosa,Mediterranean,Penouta,1,18.6,24.4,
Luzula caespitosa,Mediterranean,Penouta,2,24.8,28.6,
Luzula caespitosa,Mediterranean,Penouta,3,11.6,16.6,
Luzula caespitosa,Mediterranean,Penouta,4,18.6,21.8,
Luzula caespitosa,Mediterranean,Penouta,5,21.4,25.8,
Luzula caespitosa,Mediterranean,Penouta,6,11.8,16.8,
Luzula caespitosa,Mediterranean,Penouta,7,18,22.8,
Luzula caespitosa,Mediterranean,Penouta,8,18,28.8,
Luzula caespitosa,Mediterranean,Penouta,9,19.8,27,
Luzula caespitosa,Mediterranean,Penouta,10,26,31.8,
Luzula caespitosa,Mediterranean,Rabinalto,1,7,26.4,
Luzula caespitosa,Mediterranean,Rabinalto,2,13.6,21.2,
Luzula caespitosa,Mediterranean,Rabinalto,3,13.8,22,
Luzula caespitosa,Mediterranean,Rabinalto,4,16.2,25.2,
Luzula caespitosa,Mediterranean,Rabinalto,5,15.8,24.6,
Luzula caespitosa,Mediterranean,Rabinalto,6,10.2,19.2,
Luzula caespitosa,Mediterranean,Rabinalto,7,19,20.2,
Luzula caespitosa,Mediterranean,Rabinalto,8,16.6,21,
Luzula caespitosa,Mediterranean,Rabinalto,9,15.8,20.2,
Luzula caespitosa,Mediterranean,Rabinalto,10,15.4,19.2,
Luzula pediformis,Temperate,Hoyo sin Tierra,1,1.7,17,
Luzula pediformis,Temperate,Hoyo sin Tierra,2,4.6,18,
Luzula pediformis,Temperate,Hoyo sin Tierra,3,4.6,,
Luzula pediformis,Temperate,Hoyo sin Tierra,4,4.8,,
Luzula pediformis,Temperate,Hoyo sin Tierra,5,3.8,,
Luzula pediformis,Temperate,Hoyo sin Tierra,6,6.2,,
Luzula pediformis,Temperate,Hoyo sin Tierra,7,7.8,,
Luzula pediformis,Temperate,Hoyo sin Tierra,8,4.4,,
Luzula pediformis,Temperate,Hoyo sin Tierra,9,4.2,,
Luzula pediformis,Temperate,Hoyo sin Tierra,10,3.2,,
Luzula pediformis,Temperate,Los Cazadores,1,5.6,15.6,
Luzula pediformis,Temperate,Los Cazadores,2,2.5,,
Luzula pediformis,Temperate,Los Cazadores,3,2,,
Luzula pediformis,Temperate,Los Cazadores,4,2.8,,
Luzula pediformis,Temperate,Los Cazadores,5,2.8,,
Luzula pediformis,Temperate,Los Cazadores,6,3,,
Luzula pediformis,Temperate,Los Cazadores,7,3.1,,
Luzula pediformis,Temperate,Los Cazadores,8,4,,
Luzula pediformis,Temperate,Los Cazadores,9,4,,
Luzula pediformis,Temperate,Los Cazadores,10,2.7,,
Minuartia recurva,Mediterranean,Solana,1,6,9.2,
Minuartia recurva,Mediterranean,Solana,2,1,4.6,
Minuartia recurva,Mediterranean,Solana,3,1.6,5.8,
Minuartia recurva,Mediterranean,Solana,4,1.4,5,
Minuartia recurva,Mediterranean,Solana,5,4.4,8.6,
Minuartia recurva,Mediterranean,Solana,6,1.4,4.6,
Minuartia recurva,Mediterranean,Solana,7,1.2,6.8,
Minuartia recurva,Mediterranean,Solana,8,2,5,
Minuartia recurva,Mediterranean,Solana,9,2.4,8,
Minuartia recurva,Mediterranean,Solana,10,2,5.6,
Minuartia recurva,Mediterranean,Cañada,1,5.6,6,
Minuartia recurva,Mediterranean,Cañada,2,4,6.6,
Minuartia recurva,Mediterranean,Cañada,3,4.8,8.2,
Minuartia recurva,Mediterranean,Cañada,4,5.6,7.6,
Minuartia recurva,Mediterranean,Cañada,5,4.2,7,
Minuartia recurva,Mediterranean,Cañada,6,9,11.6,
Minuartia recurva,Mediterranean,Cañada,7,5.6,6.8,
Minuartia recurva,Mediterranean,Cañada,8,3,7,
Minuartia recurva,Mediterranean,Cañada,9,5.2,6.4,
Minuartia recurva,Mediterranean,Cañada,10,5.6,7.6,
Minuartia verna,Temperate,Hoyo sin Tierra,1,4,5.5,
Minuartia verna,Temperate,Hoyo sin Tierra,2,5.5,6.5,
Minuartia verna,Temperate,Hoyo sin Tierra,3,2.8,0.8,
Minuartia verna,Temperate,Hoyo sin Tierra,4,2.2,3.5,
Minuartia verna,Temperate,Hoyo sin Tierra,5,1,4.2,
Minuartia verna,Temperate,Hoyo sin Tierra,6,1.5,3.2,
Minuartia verna,Temperate,Hoyo sin Tierra,7,1,3.4,
Minuartia verna,Temperate,Hoyo sin Tierra,8,0.8,2.6,
Minuartia verna,Temperate,Hoyo sin Tierra,9,0.8,2.4,
Minuartia verna,Temperate,Hoyo sin Tierra,10,1.4,3.8,
Minuartia verna,Temperate,Los Cazadores,1,2.5,5.9,
Minuartia verna,Temperate,Los Cazadores,2,2.5,4.8,
Minuartia verna,Temperate,Los Cazadores,3,2,4.6,
Minuartia verna,Temperate,Los Cazadores,4,3,5.5,
Minuartia verna,Temperate,Los Cazadores,5,1.2,3.8,
Minuartia verna,Temperate,Los Cazadores,6,6.2,8.4,
Minuartia verna,Temperate,Los Cazadores,7,5.5,7.2,
Minuartia verna,Temperate,Los Cazadores,8,4.6,7,
Minuartia verna,Temperate,Los Cazadores,9,3.3,5.4,
Minuartia verna,Temperate,Los Cazadores,10,2.4,4.3,
Neoschischkinia truncatula,Mediterranean,Penouta,1,6,21.2,
Neoschischkinia truncatula,Mediterranean,Penouta,2,5.4,12.2,
Neoschischkinia truncatula,Mediterranean,Penouta,3,5.2,19.2,
Neoschischkinia truncatula,Mediterranean,Penouta,4,5.4,16.2,
Neoschischkinia truncatula,Mediterranean,Penouta,5,11,19.8,
Neoschischkinia truncatula,Mediterranean,Penouta,6,5,21.2,
Neoschischkinia truncatula,Mediterranean,Penouta,7,5.4,19.2,
Neoschischkinia truncatula,Mediterranean,Penouta,8,5,16,
Neoschischkinia truncatula,Mediterranean,Penouta,9,5.8,20,
Neoschischkinia truncatula,Mediterranean,Penouta,10,5.2,21.4,
Neoschischkinia truncatula,Mediterranean,Cañada,1,3.8,12.2,
Neoschischkinia truncatula,Mediterranean,Cañada,2,5.8,11.2,
Neoschischkinia truncatula,Mediterranean,Cañada,3,3.8,17.6,
Neoschischkinia truncatula,Mediterranean,Cañada,4,6.6,10.2,
Neoschischkinia truncatula,Mediterranean,Cañada,5,10,14.6,
Neoschischkinia truncatula,Mediterranean,Cañada,6,18,13.6,
Neoschischkinia truncatula,Mediterranean,Cañada,7,5.2,18.2,
Neoschischkinia truncatula,Mediterranean,Cañada,8,7.6,13.8,
Neoschischkinia truncatula,Mediterranean,Cañada,9,5.2,14.8,
Neoschischkinia truncatula,Mediterranean,Cañada,10,7.8,14.8,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,1,0.4,4.2,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,2,0.6,3,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,3,3,4.5,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,4,5,8.9,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,5,5,9.4,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,6,4.1,9.6,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,7,1.2,4.3,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,8,2.4,9.2,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,9,6,9.4,
Oxytropis neglecta,Temperate,Hoyo sin Tierra,10,3,9,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,1,5.5,8,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,2,5,6.6,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,3,2.1,5.4,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,4,3.6,7.2,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,5,4,6.2,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,6,2.8,4.5,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,7,3,6.2,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,8,1.2,4.5,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,9,4,5.5,
Pedicularis pyrenaica,Temperate,Hoyo sin Tierra,10,3.9,6,
Pedicularis pyrenaica,Temperate,Los Cazadores,1,2.4,5.8,
Pedicularis pyrenaica,Temperate,Los Cazadores,2,3.8,6.8,
Pedicularis pyrenaica,Temperate,Los Cazadores,3,3,6.8,
Pedicularis pyrenaica,Temperate,Los Cazadores,4,3,4.8,
Pedicularis pyrenaica,Temperate,Los Cazadores,5,4,6.4,
Pedicularis pyrenaica,Temperate,Los Cazadores,6,3,5.6,
Pedicularis pyrenaica,Temperate,Los Cazadores,7,2.4,4.4,
Pedicularis pyrenaica,Temperate,Los Cazadores,8,4.2,7.2,
Pedicularis pyrenaica,Temperate,Los Cazadores,9,4,5.4,
Pedicularis pyrenaica,Temperate,Los Cazadores,10,6,8.8,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,1,10.4,14,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,2,7.8,13.8,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,3,5.6,12.8,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,4,4.4,9.8,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,5,7.2,14.4,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,6,5.2,14.6,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,7,5.2,13.6,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,8,8,13.6,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,9,5.6,10.4,
Phalacrocarpum oppositifolium,Mediterranean,Penouta,10,5.4,10.2,
Phalacrocarpum oppositifolium,Mediterranean,Solana,1,9.8,12.6,
Phalacrocarpum oppositifolium,Mediterranean,Solana,2,6,14.4,
Phalacrocarpum oppositifolium,Mediterranean,Solana,3,6.4,15.6,
Phalacrocarpum oppositifolium,Mediterranean,Solana,4,5.4,12.6,
Phalacrocarpum oppositifolium,Mediterranean,Solana,5,4.8,11,
Phalacrocarpum oppositifolium,Mediterranean,Solana,6,6,12.4,
Phalacrocarpum oppositifolium,Mediterranean,Solana,7,5.4,8.2,
Phalacrocarpum oppositifolium,Mediterranean,Solana,8,4.8,7.8,
Phalacrocarpum oppositifolium,Mediterranean,Solana,9,6.2,9.8,
Phalacrocarpum oppositifolium,Mediterranean,Solana,10,5,9.4,
Phyteuma hemisphaericum,Mediterranean,Penouta,1,12.2,16.5,
Phyteuma hemisphaericum,Mediterranean,Penouta,2,15,18.2,
Phyteuma hemisphaericum,Mediterranean,Penouta,3,9.4,11.2,
Phyteuma hemisphaericum,Mediterranean,Penouta,4,2.8,11.4,
Phyteuma hemisphaericum,Mediterranean,Penouta,5,12.8,17.6,
