community,species,family,incubator,Autumn,Winter,Spring,Summer,T50,EHS,Delay_time,Germination_shift
Mediterranean,Minuartia recurva,Caryophyllaceae,fellfield,99.5,0.0,0.5,0.0,6.0,87.5,8.0,54.2
Mediterranean,Neoschischkinia truncatula,Poaceae,fellfield,93.7,0.0,0.0,0.6,6.8,83.4,2.0,17.6
Mediterranean,Phalacrocarpum oppositifolium,Asteraceae,fellfield,82.8,7.1,2.2,0.0,40.3,451.7,41.8,2.7
Mediterranean,Phyteuma hemisphaericum,Campanulaceae,fellfield,0.7,0.0,29.1,1.9,NA,NA,NA,10.1
Mediterranean,Plantago holosteum,Plantaginaceae,fellfield,96.5,0.0,3.0,0.0,8.1,100.1,0.3,8.9
Mediterranean,Sedum anglicum,Crassulaceae,fellfield,57.0,4.6,7.6,5.5,83.7,293.3,82.4,62.9
Mediterranean,Sedum brevifolium,Crassulaceae,fellfield,41.9,0.0,8.7,0.6,75.0,352.6,9.8,28.4
Mediterranean,Sempervivum arachnoideum,Crassulaceae,fellfield,0.0,0.0,95.5,0.6,212.8,359.3,47.0,55.3
Mediterranean,Silene ciliata,Caryophyllaceae,fellfield,1.1,0.0,86.9,2.1,198.9,268.4,41.9,30.5
Mediterranean,Solidago virgaurea,Asteraceae,fellfield,84.5,0.0,15.5,0.0,14.9,174.4,220.4,164.6
Mediterranean,Spergula morisonii,Caryophyllaceae,fellfield,56.9,0.0,1.3,5.4,167.8,1604.9,-131.7,-62.1
Mediterranean,Thymus praecox,Lamiaceae,fellfield,90.2,0.0,6.9,1.5,13.8,190.6,69.5,65.8
Temperate,Androsace villosa,Primulaceae,snowbed,0.0,0.0,0.0,1.2,NA,NA,NA,-0.6
Temperate,Anthyllis vulneraria,Fabaceae,snowbed,2.9,0.0,0.0,0.0,NA,NA,NA,12.2
Temperate,Arenaria erinacea,Caryophyllaceae,snowbed,2.1,0.0,0.0,1.0,NA,NA,NA,69.1
Temperate,Arenaria moehringioides,Caryophyllaceae,snowbed,0.0,18.2,0.0,18.2,294.0,792.0,22.0,30.8
Temperate,Armeria cantabrica,Plumbaginaceae,snowbed,0.0,7.7,0.6,89.1,278.0,596.8,39.8,30.8
Temperate,Carex sempervirens,Cyperaceae,snowbed,0.0,0.0,0.0,99.3,282.9,548.3,38.0,38.2
Temperate,Dethawia splendens,Apiaceae,snowbed,0.0,91.8,6.1,2.0,230.4,251.9,17.5,11.9
Temperate,Erigeron alpinus,Asteraceae,snowbed,0.0,3.0,83.8,13.1,261.6,325.1,41.9,43.8
Temperate,Euphrasia salisburgensis,Orobanchaceae,snowbed,0.0,0.5,0.0,0.0,NA,NA,NA,0.1
Temperate,Festuca hystrix,Poaceae,snowbed,71.1,7.9,0.0,7.9,122.8,178.0,107.7,83.2
Temperate,Festuca rubra,Poaceae,snowbed,,,,,,,-239.5,NA
Temperate,Gentiana verna,Gentianaceae,snowbed,0.0,7.3,0.7,0.7,NA,NA,NA,1.2
Temperate,Gentianella campestris,,snowbed,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
Temperate,Gypsophila repens,Caryophyllaceae,snowbed,1.1,2.1,7.9,87.4,281.8,523.1,51.6,75.4
Temperate,Helianthemum canum,Cistaceae,snowbed,10.2,1.8,4.5,5.2,NA,NA,NA,29.8
Temperate,Helianthemum urrielense,Cistaceae,snowbed,75.0,0.0,0.0,0.0,14.8,91.0,1.4,-32.5
Temperate,Helictotrichon sedenense,Poaceae,snowbed,0.0,85.0,0.0,15.0,231.6,277.0,2.0,23.0
Temperate,Iberis carnosa,Brassicaceae,snowbed,16.5,0.0,0.0,82.4,311.7,1005.9,302.1,183.4
Temperate,Jasione cavanillesii,Campanulaceae,snowbed,0.0,0.0,4.8,22.5,272.3,474.3,46.0,14.0
Temperate,Jurinea humilis,Asteraceae,snowbed,0.0,100.0,0.0,0.0,230.5,268.5,110.9,94.1
Temperate,Kobresia myosuroides,,snowbed,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
Temperate,Koeleria vallesiana,Poaceae,snowbed,82.4,11.2,0.0,5.4,30.0,185.9,17.9,54.5
Temperate,Minuartia CF,Caryophyllaceae,snowbed,0.0,1.0,5.0,8.0,NA,NA,NA,97.2
Temperate,Minuartia verna,Caryophyllaceae,snowbed,8.4,0.0,1.1,3.2,NA,NA,NA,112.4
Temperate,Pedicularis pyrenaica,Orobanchaceae,snowbed,0.0,29.2,0.0,3.1,249.5,334.0,45.8,21.1
Temperate,Phyteuma orbiculare,Campanulaceae,snowbed,0.0,17.9,10.7,7.1,NA,NA,NA,-11.4
Temperate,Plantago alpina,Plantaginaceae,snowbed,1.1,65.9,29.2,2.7,234.5,225.3,58.5,83.0
Temperate,Ranunculus carinthiacus,Ranunculaceae,snowbed,0.0,0.0,0.0,0.0,NA,NA,NA,24.7
Temperate,Salix breviserrata,,snowbed,0.0,0.0,0.0,0.0,NA,,NA,0.0
Temperate,Saxifraga conifera,Saxifragaceae,snowbed,6.4,0.0,0.0,63.5,327.6,1284.7,265.1,195.2
Temperate,Saxifraga paniculata,Saxifragaceae,snowbed,0.0,0.0,20.2,39.3,283.5,551.5,61.5,84.8
Temperate,Scilla verna,Asparagaceae,snowbed,0.0,0.0,0.0,28.6,NA,NA,NA,-1.4
Temperate,Sedum album cf,,snowbed,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
Temperate,Sesleria caerula,Poaceae,snowbed,36.2,15.9,1.5,43.5,195.4,304.6,170.4,146.8
Temperate,Silene acaulis,Caryophyllaceae,snowbed,2.9,2.2,0.6,28.1,288.0,692.5,-15.9,17.5
Temperate,Silene ciliata,Caryophyllaceae,snowbed,1.8,21.3,56.0,6.6,255.8,296.9,44.9,56.6
Temperate,Thymus praecox,Lamiaceae,snowbed,0.7,0.0,37.8,60.1,275.0,459.2,153.2,151.8
Mediterranean,Agrostis tileni,Poaceae,snowbed,0.0,0.0,80.0,20.0,301.7,817.5,76.2,69.8
Mediterranean,Armeria duriaei,Plumbaginaceae,snowbed,93.6,1.2,0.0,4.0,15.2,130.9,7.9,25.4
Mediterranean,Cerastium ramosissimum,Caryophyllaceae,snowbed,53.8,0.0,0.0,0.0,48.0,755.6,-0.8,-8.0
Mediterranean,Conopodium majus,Apiaceae,snowbed,0.0,98.3,0.9,0.0,239.0,354.3,31.4,29.2
Mediterranean,Dianthus langeanus,Caryophyllaceae,snowbed,97.4,2.6,0.0,0.0,5.4,70.3,1.7,6.1
Mediterranean,Festuca summilusitana,Poaceae,snowbed,95.0,1.9,1.0,2.1,23.1,182.3,4.7,17.0
Mediterranean,Helictochloa marginata,Poaceae,snowbed,20.0,20.0,0.0,60.0,165.7,432.5,22.9,34.6
Mediterranean,Jurinea humilis,Asteraceae,snowbed,0.0,100.0,0.0,0.0,246.5,445.5,236.8,191.2
Mediterranean,Luzula caespitosa,Juncaceae,snowbed,0.0,94.9,0.0,1.1,245.5,432.5,143.2,107.0
Mediterranean,Minuartia recurva,Caryophyllaceae,snowbed,79.9,2.2,17.9,0.0,14.0,159.8,8.0,54.2
Mediterranean,Neoschischkinia truncatula,Poaceae,snowbed,89.5,0.0,0.0,0.6,8.8,75.8,2.0,17.6
Mediterranean,Phalacrocarpum oppositifolium,Asteraceae,snowbed,77.4,22.6,0.0,0.0,82.1,278.6,41.8,2.7
Mediterranean,Phyteuma hemisphaericum,Campanulaceae,snowbed,0.7,3.9,20.8,9.0,284.5,547.0,NA,10.1
Mediterranean,Plantago holosteum,Plantaginaceae,snowbed,93.5,0.5,3.5,1.5,8.4,71.4,0.3,8.9
Mediterranean,Sedum anglicum,Crassulaceae,snowbed,43.7,0.0,4.9,6.1,166.2,515.2,82.4,62.9
Mediterranean,Sedum brevifolium,Crassulaceae,snowbed,34.4,0.0,1.7,10.8,84.9,240.6,9.8,28.4
Mediterranean,Sempervivum arachnoideum,Crassulaceae,snowbed,0.0,0.0,11.6,69.3,259.8,351.0,47.0,55.3
Mediterranean,Silene ciliata,Caryophyllaceae,snowbed,0.5,9.1,79.9,5.5,240.8,184.4,41.9,30.5
Mediterranean,Solidago virgaurea,Asteraceae,snowbed,12.4,78.6,9.0,0.0,235.3,305.6,220.4,164.6
Mediterranean,Spergula morisonii,Caryophyllaceae,snowbed,73.3,0.0,0.0,0.0,36.2,559.1,-131.7,-62.1
Mediterranean,Thymus praecox,Lamiaceae,snowbed,66.9,2.1,10.3,20.8,83.4,265.9,69.5,65.8
