"","community","species","ind","N_leaves","leaf_area","dry_weight_mg","fresh_weight_mg","LDMC","SLA"
"488","Temperate","Gentiana occidentalis",1,2,202.9828,23.17,85.44,0.271184456928839,8.76058696590419
"489","Temperate","Gentiana occidentalis",10,2,213.5692,20.27,86.58,0.234118734118734,10.5362210162802
"490","Temperate","Gentiana occidentalis",2,2,236.3764,20.81,86.93,0.23938801334407,11.358789043729
"491","Temperate","Gentiana occidentalis",3,2,271.448,27.15,111.57,0.243344985211078,9.9980847145488
"492","Temperate","Gentiana occidentalis",4,2,163.3774,10.47,55.7,0.187971274685817,15.6043361986628
"493","Temperate","Gentiana occidentalis",5,2,151.4172,13.47,50.17,0.268487143711381,11.2410690423163
"494","Temperate","Gentiana occidentalis",6,2,217.8552,11.07,60.86,0.181892868879395,19.679783197832
"495","Temperate","Gentiana occidentalis",7,2,208.2769,22.38,88.22,0.253683971888461,9.30638516532618
"496","Temperate","Gentiana occidentalis",8,2,163.9022,8.51,44.74,0.190210102816272,19.2599529964747
"497","Temperate","Gentiana occidentalis",9,2,233.2652,14.64,78.92,0.185504308160162,15.9334153005464
"498","Temperate","Gentiana verna",1,2,25.6081,1.18,5.7,0.207017543859649,21.7017796610169
"499","Temperate","Gentiana verna",10,2,34.2016,2.05,7.8,0.262820512820513,16.6837073170732
"500","Temperate","Gentiana verna",2,2,77.1762,3.89,21.2,0.183490566037736,19.8396401028278
"501","Temperate","Gentiana verna",3,2,35.7437,1.71,7.9,0.216455696202532,20.9027485380117
"502","Temperate","Gentiana verna",4,2,47.4894,2.98,12.47,0.23897353648757,15.9360402684564
"503","Temperate","Gentiana verna",5,2,27.511,1.5,6.13,0.244698205546493,18.3406666666667
"504","Temperate","Gentiana verna",6,2,54.1873,2.81,15.81,0.177735610373182,19.2837366548043
"505","Temperate","Gentiana verna",7,2,37.2121,1.73,7.83,0.220945083014049,21.5098843930636
"506","Temperate","Gentiana verna",8,2,52.787,3.39,13.43,0.252419955323902,15.5713864306785
"507","Temperate","Gentiana verna",9,2,62.314,2.41,13.13,0.183549124143184,25.8564315352697
"508","Temperate","Gypsophila repens",1,2,20.3967,1.3,6.01,0.21630615640599,15.6897692307692
"509","Temperate","Gypsophila repens",10,2,27.8108,1.79,8.03,0.222914072229141,15.5367597765363
"510","Temperate","Gypsophila repens",2,2,35.8209,2.37,10.8,0.219444444444444,15.1143037974684
"511","Temperate","Gypsophila repens",3,2,22.1578,1.52,5.87,0.258943781942078,14.5775
"512","Temperate","Gypsophila repens",4,2,24.671,1.07,6.26,0.170926517571885,23.0570093457944
"513","Temperate","Gypsophila repens",5,2,35.6952,1.93,9.04,0.213495575221239,18.4949222797927
"514","Temperate","Gypsophila repens",6,2,26.2562,1.35,6.36,0.212264150943396,19.449037037037
"515","Temperate","Gypsophila repens",7,2,26.4087,1.64,6.75,0.242962962962963,16.1028658536585
"516","Temperate","Gypsophila repens",8,2,33.1047,1.66,7.91,0.209860935524652,19.9425903614458
"517","Temperate","Gypsophila repens",9,2,31.7081,1.72,8.3,0.207228915662651,18.4349418604651
"518","Temperate","Helianthemum cantabricum",1,2,158.4018,14.7,47.04,0.3125,10.7756326530612
"519","Temperate","Helianthemum cantabricum",10,2,183.9294,17.75,54.27,0.327068361894232,10.3622197183099
"520","Temperate","Helianthemum cantabricum",2,2,185.8118,15.73,51.98,0.302616390919584,11.8125746980292
"521","Temperate","Helianthemum cantabricum",3,2,121.0082,12.82,36.28,0.353362734288864,9.43901716068643
"522","Temperate","Helianthemum cantabricum",4,2,138.152,12.91,39.15,0.329757343550447,10.7011618900077
"523","Temperate","Helianthemum cantabricum",5,2,106.8308,9.92,30.42,0.326101249178172,10.7692338709677
"524","Temperate","Helianthemum cantabricum",6,2,224.847,20.86,52.2,0.399616858237548,10.7788590604027
"525","Temperate","Helianthemum cantabricum",7,2,119.6054,10.93,30.66,0.356490541422048,10.9428545288198
"526","Temperate","Helianthemum cantabricum",8,2,178.6045,17.48,51.77,0.337647286073015,10.2176487414188
"527","Temperate","Helianthemum cantabricum",9,2,120.3602,12.99,34.81,0.373168629704108,9.26560431100847
"528","Temperate","Helianthemum canum",1,2,73.6415,7.33,21.73,0.337321675103543,10.0465893587995
"529","Temperate","Helianthemum canum",10,2,34.347,2.7,8.74,0.308924485125858,12.7211111111111
"530","Temperate","Helianthemum canum",2,2,59.7846,5.21,17.89,0.291224147568474,11.4749712092131
"531","Temperate","Helianthemum canum",3,2,57.1762,5.16,15.49,0.333118140735959,11.0806589147287
"532","Temperate","Helianthemum canum",4,2,50.6669,3.83,13,0.294615384615385,13.228955613577
"533","Temperate","Helianthemum canum",5,2,52.3293,4.56,15.27,0.298624754420432,11.4757236842105
"534","Temperate","Helianthemum canum",6,2,41.0053,3.71,10.81,0.343200740055504,11.052641509434
"535","Temperate","Helianthemum canum",7,2,60.5906,5.59,17.65,0.31671388101983,10.8391055456172
"536","Temperate","Helianthemum canum",8,2,63.5131,5.44,18.75,0.290133333333333,11.6752022058824
"537","Temperate","Helianthemum canum",9,2,76.1547,6.35,22.79,0.278630978499342,11.9928661417323
"538","Temperate","Helianthemum urrielense",1,2,103.5114,5.91,24.45,0.241717791411043,17.5146192893401
"539","Temperate","Helianthemum urrielense",10,2,68.055,4.59,16.05,0.285981308411215,14.8267973856209
"540","Temperate","Helianthemum urrielense",2,2,32.4997,2.27,7.65,0.296732026143791,14.3170484581498
"541","Temperate","Helianthemum urrielense",3,2,73.5733,4.49,18.02,0.249167591564928,16.3860356347439
"542","Temperate","Helianthemum urrielense",4,2,70.166,5,18.26,0.273822562979189,14.0332
"543","Temperate","Helianthemum urrielense",5,2,56.6789,4.55,14.42,0.315533980582524,12.4569010989011
"544","Temperate","Helianthemum urrielense",6,2,51.6794,3.86,14.07,0.274342572850036,13.3884455958549
"545","Temperate","Helianthemum urrielense",7,2,42.9872,3.4,11.54,0.294627383015598,12.6432941176471
"546","Temperate","Helianthemum urrielense",8,2,48.0908,3.7,13.33,0.277569392348087,12.9975135135135
"547","Temperate","Helianthemum urrielense",9,2,40.7217,3.37,11.59,0.29076790336497,12.083590504451
"548","Temperate","Helictotrichon sedenense",1,2,566.1599,30.4,97.94,0.310394118848274,18.6236809210526
"549","Temperate","Helictotrichon sedenense",10,2,733.4775,40.69,130.2,0.312519201228879,18.0259891865323
"550","Temperate","Helictotrichon sedenense",2,2,533.4919,30.21,91.13,0.331504444200593,17.6594472029129
"551","Temperate","Helictotrichon sedenense",3,2,764.3793,67.27,116.05,0.579663937957777,11.3628556563104
