community,species,site,code ,plant,N.seeds,,
Temperate,Linaria alpina,Hou sin tierri,190822-01,2,8,,
Temperate,Linaria alpina,Hou sin tierri,190822-01,3,52,,
Temperate,Linaria alpina,Hou sin tierri,190822-01,4,60,,
Temperate,Linaria alpina,Hou sin tierri,190822-01,5,16,,
Temperate,Linaria alpina,Hou sin tierri,190822-01,6,58,,
Temperate,Linaria alpina,Hou sin tierri,190822-01,7,95,,
Temperate,Minuartia CF,Los cazadores,310821-10,1,132,,
Temperate,Minuartia CF,Los cazadores,310821-10,2,45,,
Temperate,Minuartia CF,Los cazadores,310821-10,3,89,,
Temperate,Minuartia CF,Los cazadores,310821-10,4,58,,
Temperate,Minuartia CF,Los cazadores,310821-10,5,84,,
Temperate,Minuartia CF,Los cazadores,310821-10,6,16,,
Temperate,Minuartia CF,Los cazadores,310821-10,7,80,,
Temperate,Minuartia CF,Los cazadores,310821-10,8,118,,
Temperate,Minuartia CF,Los cazadores,310821-10,9,115,,
Temperate,Minuartia CF,Los cazadores,310821-10,10,55,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,1,6,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,2,7,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,3,16,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,4,17,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,5,46,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,6,17,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,7,11,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,8,15,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,9,16,,
Temperate,Minuartia verna,Hoyo sin tierra,300821-06,10,4,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,1,84,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,2,8,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,3,2,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,4,8,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,5,5,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,6,8,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,7,24,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,8,28,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,9,76,,
Temperate,Minuartia verna,Hoyo sin tierra,210823-01,10,10,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,1,0,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,2,53,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,3,0,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,4,0,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,5,4,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,6,1,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,7,16,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,8,20,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,9,33,,
Temperate,Pedicularis pyrenaica,Los cazadores,310821-04,10,91,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,1,20,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,2,21,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,3,0,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,4,11,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,5,0,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,6,21,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,7,21,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,8,0,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,9,2,,
Temperate,Pedicularis pyrenaica,Los cazadores,300822-02,10,1,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,1,5,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,2,44,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,3,3,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,4,51,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,5,11,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,6,20,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,7,7,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,8,2,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,9,20,,
Temperate,Pedicularis pyrenaica,Hou sin tierri,130921-04,10,0,,
Temperate,Phyteuma orbiculare,Los cazadores,300921-02,1,11,,
Temperate,Phyteuma orbiculare,Los cazadores,300921-02,2,1,,
Temperate,Phyteuma orbiculare,Los cazadores,300921-02,3,33,,
Temperate,Phyteuma orbiculare,Los cazadores,300921-02,4,48,,
Temperate,Phyteuma orbiculare,Los cazadores,300921-02,5,7,,
Temperate,Phyteuma orbiculare,Los cazadores,300921-02,6,12,,
Temperate,Phyteuma orbiculare,Hoyo sin tierra,210823-07,1,40,,
Temperate,Phyteuma orbiculare,Hoyo sin tierra,210823-07,2,22,,
Temperate,Phyteuma orbiculare,Los cazadores,010923-02,1,36,,
Temperate,Phyteuma orbiculare,Los cazadores,010923-02,2,28,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,1,20,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,2,42,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,3,127,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,4,16,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,5,70,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,6,18,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,7,46,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,8,53,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,9,9,,
Temperate,Plantago alpina,Hoyo sin tierra,300821-15,10,6,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,1,41,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,2,103,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,3,21,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,4,30,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,5,12,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,6,10,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,7,10,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,8,9,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,9,15,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,10,5,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,11,7,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,12,13,,
Temperate,Plantago alpina,Hoyo sin tierra,210823-06,13,294,,
Temperate,Saxifraga conifera,Boches,140921-08,1,1,,
Temperate,Saxifraga conifera,Boches,140921-08,2,14,,
Temperate,Saxifraga conifera,Boches,140921-08,3,2,,
Temperate,Saxifraga conifera,Boches,140921-08,4,30,,
Temperate,Saxifraga conifera,Boches,140921-08,5,49,,
Temperate,Saxifraga conifera,Boches,140921-08,6,7,,
Temperate,Saxifraga conifera,Boches,140921-08,7,0,,
Temperate,Saxifraga conifera,Boches,140921-08,8,0,,
Temperate,Saxifraga conifera,Boches,140921-08,9,7,,
Temperate,Saxifraga conifera,Boches,140921-08,10,3,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,1,2,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,2,6,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,3,18,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,4,29,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,5,0,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,6,0,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,7,47,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,8,0,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,9,8,,
Temperate,Saxifraga conifera,Hou sin tierri,130921-09,10,20,,
Temperate,Saxifraga oppositifolia,Hoyo sin tierra,190822-05,1,0,,
Temperate,Saxifraga oppositifolia,Hoyo sin tierra,190822-05,2,15,,
Temperate,Saxifraga oppositifolia,Hoyo sin tierra,190822-05,3,0,,
Temperate,Saxifraga oppositifolia,Boches,310823-06,1,31,,
Temperate,Saxifraga oppositifolia,Boches,310823-06,2,47,,
Temperate,Saxifraga oppositifolia,Boches,310823-06,3,23,,
Temperate,Saxifraga oppositifolia,Boches,310823-06,4,27,,
Temperate,Saxifraga oppositifolia,Boches,310823-06,5,23,,
Temperate,Saxifraga oppositifolia,Boches,310823-06,6,54,,
Temperate,Saxifraga oppositifolia,Boches,310823-06,7,0,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,1,37,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,2,44,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,3,115,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,4,681,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,5,60,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,6,31,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,7,65,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,8,72,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,9,247,,
Temperate,Saxifraga oppositifolia,Hou sin tierri,310823-17,10,181,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,1,117,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,2,207,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,3,385,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,4,349,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,5,82,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,6,295,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,7,146,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,8,226,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,9,51,,
Temperate,Saxifraga paniculata,Los cazadores,310821-14,10,502,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,1,1,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,2,2,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,3,0,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,4,30,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,5,0,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,6,10,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,7,0,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,8,40,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,9,21,,
Temperate,Saxifraga paniculata,Los cazadores,300822-06,10,5,,
Temperate,Scilla verna,Los cazadores,310821-06,1,8,,
Temperate,Scilla verna,Los cazadores,310821-06,2,4,,
Temperate,Scilla verna,Los cazadores,310821-06,3,4,,
Temperate,Scilla verna,Los cazadores,310821-06,4,7,,
Temperate,Scilla verna,Los cazadores,310821-06,5,9,,
Temperate,Scilla verna,Los cazadores,310821-06,6,8,,
Temperate,Scilla verna,Los cazadores,310821-06,7,13,,
Temperate,Scilla verna,Los cazadores,310821-06,8,8,,
Temperate,Scilla verna,Los cazadores,310821-06,9,11,,
Temperate,Scilla verna,Los cazadores,310821-06,10,10,,
Temperate,Scilla verna,Hoyo sin tierra,210823-12,1,10,,
Temperate,Scilla verna,Hoyo sin tierra,210823-12,2,9,,
Temperate,Scilla verna,Hoyo sin tierra,210823-12,3,16,,
Temperate,Sedum album,Hoyo sin tierra,210823-10,1,205,*valores aproximados por peso semilla,
Temperate,Sedum album,Hoyo sin tierra,210823-10,2,187,*valores aproximados por peso semilla,
Temperate,Sedum album,Hoyo sin tierra,210823-10,3,25,*valores aproximados por peso semilla,
Temperate,Sedum album,Hoyo sin tierra,210823-10,4,40,*valores aproximados por peso semilla,
Temperate,Sedum album,Hoyo sin tierra,210823-10,5,74,*valores aproximados por peso semilla,
Temperate,Sedum album,Hoyo sin tierra,210823-10,6,163,*valores aproximados por peso semilla,
Temperate,Sedum album,Hoyo sin tierra,210823-10,7,37,*valores aproximados por peso semilla,
Temperate,Sedum album,Hoyo sin tierra,210823-10,8,105,*valores aproximados por peso semilla,
Temperate,Sedum album,Hoyo sin tierra,210823-10,9,91,*valores aproximados por peso semilla,
Temperate,Sedum album,Hoyo sin tierra,210823-10,10,104,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,1,61.5,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,2,24.5,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,3,219.4,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,4,75.3,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,5,10.4,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,6,803.5,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,7,56.9,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,8,168.6,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,9,223.1,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,10,244.5,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Hoyo sin tierra,210823-11,11,1121.5,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Boches,310823-07,1,61.8,*valores aproximados por peso semilla,
Temperate,Sedum atratum,Boches,310823-07,2,26.9,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,1,41,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,2,97,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,3,75,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,4,217,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,5,66,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,6,80,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,7,13,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,8,40,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,9,19,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,10,71,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,11,378,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,12,45,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,13,38,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,14,81,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,15,12,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,16,35,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,17,175,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,18,111,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,19,93,*valores aproximados por peso semilla,
Temperate,Sempervivum vicentei,Hoyo sin tierra,210823-02,20,268,*valores aproximados por peso semilla,
Temperate,Sesleria caerula,Los cazadores,310821-03,1,1,,
Temperate,Sesleria caerula,Los cazadores,310821-03,2,13,,
Temperate,Sesleria caerula,Los cazadores,310821-03,3,7,,
Temperate,Sesleria caerula,Los cazadores,310821-03,4,1,,
Temperate,Sesleria caerula,Los cazadores,310821-03,5,2,,
Temperate,Sesleria caerula,Los cazadores,310821-03,6,21,,
Temperate,Sesleria caerula,Los cazadores,310821-03,7,3,,
Temperate,Sesleria caerula,Los cazadores,310821-03,8,3,,
Temperate,Sesleria caerula,Los cazadores,310821-03,9,8,,
Temperate,Sesleria caerula,Los cazadores,010923-04,1,5,,
Temperate,Sesleria caerula,Los cazadores,010923-04,2,3,,
Temperate,Sesleria caerula,Los cazadores,010923-04,3,7,,
Temperate,Sesleria caerula,Los cazadores,010923-04,4,6,,
Temperate,Sesleria caerula,Los cazadores,010923-04,5,4,,
Temperate,Sesleria caerula,Los cazadores,010923-04,6,5,,
Temperate,Sesleria caerula,Los cazadores,010923-04,7,10,,
Temperate,Sesleria caerula,Los cazadores,010923-04,8,3,,
Temperate,Sesleria caerula,Los cazadores,010923-04,9,4,,
Temperate,Sesleria caerula,Los cazadores,010923-04,10,5,,
Temperate,Sesleria caerula,Los cazadores,010923-04,11,7,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,1,98,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,2,16,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,3,174,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,4,134,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,5,12,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,6,100,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,7,201,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,8,407,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,9,93,,
Temperate,Silene acaulis,Hou sin tierri,130921-07,10,6,,
Temperate,Silene acaulis,Boches,140921-03,1,198,,
Temperate,Silene acaulis,Boches,140921-03,2,24,,
Temperate,Silene acaulis,Boches,140921-03,3,94,,
Temperate,Silene acaulis,Boches,140921-03,4,37,,
Temperate,Silene acaulis,Boches,140921-03,5,143,,
Temperate,Silene acaulis,Boches,140921-03,6,18,,
Temperate,Silene acaulis,Boches,140921-03,7,342,,
Temperate,Silene acaulis,Boches,140921-03,8,2,,
Temperate,Silene acaulis,Boches,140921-03,9,49,,
Temperate,Silene acaulis,Boches,310823-08,1,23,,
Temperate,Silene ciliata,Boches,140921-09,1,32,,
Temperate,Silene ciliata,Boches,140921-09,2,10,,
Temperate,Silene ciliata,Boches,140921-09,3,16,,
Temperate,Silene ciliata,Boches,140921-09,4,18,,
Temperate,Silene ciliata,Boches,140921-09,6,25,,
Temperate,Silene ciliata,Boches,310823-04,3,40,,
Temperate,Silene ciliata,Boches,310823-04,5,90,,
Temperate,Silene ciliata,Boches,310823-04,6,33,,
Temperate,Silene ciliata,Boches,310823-04,7,28,,
Temperate,Silene ciliata,Boches,310823-04,8,39,,
Temperate,Silene ciliata,Boches,310823-04,10,40,,
Temperate,Silene ciliata,Hoyo sin tierra,300821-11,1,54,,
Temperate,Silene ciliata,Hoyo sin tierra,300821-11,6,71,,
Temperate,Silene ciliata,Hoyo sin tierra,300821-11,8,19,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,1,54,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,2,9,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,3,13,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,4,54,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,5,152,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,6,243,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,7,175,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,8,226,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,9,36,,
Temperate,Thymus praecox,Hoyo sin tierra,300821-07,10,10,,
Temperate,Thymus praecox,Boches,310823-05,1,6,,
Temperate,Thymus praecox,Boches,310823-05,2,17,,
Temperate,Thymus praecox,Boches,310823-05,3,7,,
Temperate,Thymus praecox,Boches,310823-05,4,1,,
Temperate,Thymus praecox,Boches,310823-05,5,0,,
Temperate,Thymus praecox,Boches,310823-05,6,17,,
Temperate,Thymus praecox,Boches,310823-05,7,22,,
Temperate,Thymus praecox,Boches,310823-05,8,12,,
Temperate,Thymus praecox,Boches,310823-05,9,17,,
Temperate,Thymus praecox,Boches,310823-05,10,29,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,1,10,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,2,56,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,3,25,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,4,36,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,5,26,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,6,12,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,7,54,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,8,86,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,9,8,,
Temperate,Veronica nummularia,Hou sin tierri,190822-06,10,27,,
Temperate,Veronica nummularia,Boches,230822-05,1,12,,
Temperate,Veronica nummularia,Boches,230822-05,2,21,,
Temperate,Veronica nummularia,Boches,230822-05,3,17,,
Temperate,Veronica nummularia,Boches,230822-05,4,8,,
Temperate,Veronica nummularia,Boches,230822-05,5,22,,
Temperate,Veronica nummularia,Boches,230822-05,6,28,,
Temperate,Veronica nummularia,Boches,230822-05,7,9,,
Temperate,Veronica nummularia,Boches,230822-05,8,4,,
Temperate,Veronica nummularia,Boches,230822-05,9,2,,
Temperate,Veronica nummularia,Boches,230822-05,10,21,,
