species;treatment;temp;petri;sow_date;initial;cold_strat;D7;D14;D21;D28;D35;D42;empty;fungus
Androsace villosa;B_alternate_dark;22_12;2;10/04/2023;25;;;;;;;18;0;0
Androsace villosa;B_alternate_dark;22_12;3;10/04/2023;25;;;;;;;14;1;0
Androsace villosa;B_alternate_dark;22_12;4;10/04/2023;25;;;;;;;13;1;1
Androsace villosa;C_alternate_WP;22_12;1;10/04/2023;25;1;0;0;0;0;0;0;1;0
Androsace villosa;C_alternate_WP;22_12;2;10/04/2023;25;0;0;0;0;0;0;0;0;0
Androsace villosa;C_alternate_WP;22_12;3;10/04/2023;25;0;0;0;0;0;0;0;0;0
Androsace villosa;C_alternate_WP;22_12;4;10/04/2023;25;0;0;0;0;0;0;0;0;1
Androsace villosa;D_constant_light;17;1;10/04/2023;25;0;2;3;3;0;0;0;0;0
Androsace villosa;D_constant_light;17;2;10/04/2023;25;0;6;3;0;0;0;0;0;1
Androsace villosa;D_constant_light;17;3;10/04/2023;25;0;6;1;0;0;0;0;0;0
Androsace villosa;D_constant_light;17;4;10/04/2023;25;0;6;4;0;0;0;0;0;1
Anthyllis vulneraria;A_alternate_light;15_5;1;10/04/2023;24;18;0;1;1;0;1;0;0;0
Anthyllis vulneraria;A_alternate_light;15_5;2;10/04/2023;25;11;1;1;2;0;0;0;0;4
Anthyllis vulneraria;A_alternate_light;15_5;3;10/04/2023;25;17;0;0;0;0;0;0;0;1
Anthyllis vulneraria;A_alternate_light;15_5;4;10/04/2023;25;12;2;0;0;0;0;0;2;1
Anthyllis vulneraria;B_alternate_dark;15_5;1;10/04/2023;25;;;;;;;16;0;0
Anthyllis vulneraria;B_alternate_dark;15_5;2;10/04/2023;25;;;;;;;12;0;3
Anthyllis vulneraria;B_alternate_dark;15_5;3;10/04/2023;25;;;;;;;16;0;0
Anthyllis vulneraria;B_alternate_dark;15_5;4;10/04/2023;25;;;;;;;11;0;0
Anthyllis vulneraria;C_alternate_WP;15_5;1;10/04/2023;25;10;0;0;1;0;0;1;2;0
Anthyllis vulneraria;C_alternate_WP;15_5;2;10/04/2023;24;19;1;1;0;0;1;0;2;0
Anthyllis vulneraria;C_alternate_WP;15_5;3;10/04/2023;25;14;0;0;0;0;0;0;0;0
Anthyllis vulneraria;C_alternate_WP;15_5;4;10/04/2023;24;13;0;1;1;1;0;0;2;0
Anthyllis vulneraria;D_constant_light;10;1;10/04/2023;25;15;0;1;0;0;0;1;0;0
Anthyllis vulneraria;D_constant_light;10;2;10/04/2023;25;17;1;0;0;1;0;0;0;0
Anthyllis vulneraria;D_constant_light;10;3;10/04/2023;25;17;0;1;0;0;0;0;0;0
Anthyllis vulneraria;D_constant_light;10;4;10/04/2023;25;14;1;0;0;0;1;0;0;1
Arenaria erinacea;A_alternate_light;22_12;1;11/04/2023;24;0;0;0;0;0;1;0;0;1
Arenaria erinacea;A_alternate_light;22_12;2;11/04/2023;24;0;0;0;0;1;0;0;0;2
Arenaria erinacea;A_alternate_light;22_12;3;11/04/2023;25;0;0;0;0;1;1;2;0;0
Arenaria erinacea;A_alternate_light;22_12;4;11/04/2023;25;0;0;1;1;0;2;0;0;0
Arenaria erinacea;B_alternate_dark;22_12;1;11/04/2023;25;;;;;;;2;2;5
Arenaria erinacea;B_alternate_dark;22_12;2;11/04/2023;25;;;;;;;6;0;0
Arenaria erinacea;B_alternate_dark;22_12;3;11/04/2023;25;;;;;;;8;3;0
Arenaria erinacea;B_alternate_dark;22_12;4;11/04/2023;25;;;;;;;7;1;1
Arenaria erinacea;C_alternate_WP;22_12;1;11/04/2023;25;0;0;0;0;0;0;0;0;2
Arenaria erinacea;C_alternate_WP;22_12;2;11/04/2023;25;0;0;0;0;0;0;0;1;1
Arenaria erinacea;C_alternate_WP;22_12;3;11/04/2023;24;0;0;0;0;0;0;0;1;0
Arenaria erinacea;C_alternate_WP;22_12;4;11/04/2023;25;0;0;0;0;0;0;0;1;1
Arenaria erinacea;D_constant_light;17;1;11/04/2023;24;1;0;0;0;0;0;0;0;1
Arenaria erinacea;D_constant_light;17;2;11/04/2023;25;0;0;0;0;0;0;0;1;0
Arenaria erinacea;D_constant_light;17;3;11/04/2023;25;2;0;2;0;0;0;0;1;0
Arenaria erinacea;D_constant_light;17;4;11/04/2023;25;0;0;2;1;0;0;0;2;1
Armeria cantabrica;A_alternate_light;22_12;1;13/04/2023;25;0;4;4;3;1;0;1;5;1
Armeria cantabrica;A_alternate_light;22_12;2;13/04/2023;25;0;6;7;1;1;0;0;4;2
Armeria cantabrica;A_alternate_light;22_12;3;13/04/2023;23;0;5;9;2;1;0;0;0;0
Armeria cantabrica;A_alternate_light;22_12;4;13/04/2023;25;0;0;9;3;0;1;2;4;2
Armeria cantabrica;B_alternate_dark;22_12;1;13/04/2023;25;;;;;;;13;4;2
Armeria cantabrica;B_alternate_dark;22_12;2;13/04/2023;25;;;;;;;14;3;1
Armeria cantabrica;B_alternate_dark;22_12;3;13/04/2023;25;;;;;;;15;8;0
Armeria cantabrica;B_alternate_dark;22_12;4;13/04/2023;25;;;;;;;16;3;0
Armeria cantabrica;C_alternate_WP;22_12;1;13/04/2023;25;0;0;0;0;0;1;0;6;2
